iter	RMSE
0	14.7292874
1	14.3520102
2	13.96039217
3	13.58050128
4	13.24595827
5	12.91851353
6	12.60231783
7	12.28422922
8	11.99663479
9	11.70104749
10	11.41606684
11	11.18159033
12	10.92315367
13	10.66294226
14	10.42145794
15	10.18535866
16	9.97381427
17	9.770472703
18	9.56512688
19	9.369939739
20	9.20078422
21	9.044086355
22	8.87459734
23	8.715301462
24	8.564061487
25	8.414525298
26	8.271815151
27	8.150943519
28	8.034242411
29	7.915640186
30	7.801023447
31	7.683851276
32	7.577533861
33	7.485938891
34	7.386851343
35	7.294833165
36	7.201858692
37	7.125937546
38	7.041347268
39	6.967707346
40	6.898377436
41	6.823589728
42	6.757154698
43	6.70050485
44	6.636134336
45	6.582809904
46	6.52025446
47	6.46954042
48	6.412828613
49	6.361564038
50	6.310478208
51	6.261088226
52	6.221158748
53	6.178617982
54	6.139356992
55	6.104694869
56	6.067581022
57	6.036151946
58	6.001400621
59	5.972946433
60	5.944624621
61	5.912449332
62	5.883239566
63	5.85208017
64	5.827814922
65	5.803088968
66	5.781606052
67	5.763349954
68	5.742518283
69	5.723653766
70	5.706074102
71	5.686308278
72	5.665480248
73	5.643503629
74	5.62561902
75	5.607711607
76	5.59323939
77	5.575099092
78	5.557611736
79	5.545322132
80	5.52962766
81	5.515026806
82	5.499398487
83	5.48628612
84	5.470851571
85	5.453137598
86	5.440860606
87	5.431375125
88	5.420588649
89	5.408583622
90	5.396046234
91	5.384681138
92	5.372555319
93	5.361428989
94	5.352128812
95	5.341964462
96	5.333749986
97	5.32652981
98	5.31910373
99	5.309154111
100	5.301058656
101	5.291699309
102	5.282493827
103	5.271144885
104	5.261414223
105	5.252405183
106	5.244106702
107	5.236781622
108	5.230700201
109	5.224073402
110	5.21910645
111	5.215051947
112	5.20895442
113	5.20399176
114	5.19827815
115	5.19198791
116	5.187384995
117	5.181412483
118	5.177521127
119	5.172807985
120	5.16781671
121	5.164649637
122	5.159590461
123	5.152981354
124	5.150298859
125	5.147349167
126	5.14391997
127	5.137739842
128	5.133286484
129	5.130456475
130	5.125585937
131	5.123653423
132	5.119344787
133	5.112578101
134	5.108176872
135	5.10204944
136	5.097253497
137	5.093795652
138	5.089676523
139	5.086996162
140	5.085917892
141	5.082337323
142	5.078009435
143	5.075151771
144	5.07047339
145	5.063564612
146	5.058842829
147	5.057033891
148	5.053414798
149	5.051055408
150	5.048843334
151	5.045121139
152	5.042098701
153	5.036366554
154	5.035660427
155	5.033845601
156	5.029764958
157	5.026782514
158	5.023602322
159	5.019483866
160	5.017008444
161	5.012360876
162	5.009821757
163	5.00726234
164	5.003031955
165	5.000913192
166	4.998101282
167	4.991768614
168	4.988226434
169	4.985816599
170	4.98069145
171	4.97741276
172	4.97263441
173	4.970874038
174	4.968432044
175	4.965068504
176	4.963872039
177	4.961995589
178	4.957935314
179	4.954874912
180	4.952892636
181	4.947706524
182	4.942349594
183	4.937706688
184	4.935090598
185	4.93320596
186	4.931703934
187	4.928386358
188	4.925002901
189	4.921669429
190	4.918955446
191	4.917348686
192	4.915363323
193	4.909983046
194	4.906042778
195	4.903518913
196	4.901276977
197	4.899706322
198	4.893906898
199	4.891095084
200	4.886599948
201	4.882278878
202	4.879054071
203	4.877492725
204	4.87340363
205	4.868964003
206	4.867645192
207	4.862354428
208	4.858362794
209	4.855571917
210	4.853252108
211	4.850214236
212	4.846118586
213	4.843975336
214	4.840774055
215	4.835028145
216	4.830981459
217	4.82896079
218	4.826553774
219	4.823684005
220	4.821350057
221	4.820181748
222	4.818129826
223	4.813973469
224	4.810369631
225	4.806486526
226	4.805045145
227	4.803868931
228	4.802058872
229	4.796507611
230	4.793400554
231	4.79009928
232	4.78720656
233	4.786153497
234	4.784306784
235	4.782159929
236	4.779681366
237	4.775398712
238	4.774370994
239	4.769630074
240	4.767727762
241	4.763494337
242	4.757156029
243	4.755513702
244	4.750919482
245	4.749441386
246	4.743799703
247	4.738809391
248	4.731472389
249	4.728882005
250	4.72561135
251	4.721836485
252	4.718094903
253	4.715582339
254	4.712686352
255	4.711203782
256	4.70625684
257	4.703402753
258	4.700837215
259	4.696816976
260	4.695118246
261	4.691060503
262	4.689373201
263	4.68298002
264	4.679347227
265	4.674641734
266	4.668172329
267	4.665621729
268	4.663256667
269	4.658569395
